epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1841.43,1.25648,2.37437,0.00577,0.73226,0.72534,0.78633,0.53825,1.19121,1.01728,0.00755,0.000302277,0.000302277,0.000302277
2,4421.19,1.25066,1.00297,0.00569,0.78108,0.81808,0.85117,0.57676,1.19956,0.81841,0.00786,0.000593292,0.000593292,0.000593292
3,6874.65,1.24268,0.88766,0.00564,0.809,0.83162,0.8607,0.58784,1.18711,0.75749,0.00766,0.000872309,0.000872309,0.000872309
4,11123.1,1.23031,0.83705,0.00574,0.82258,0.82553,0.8722,0.59471,1.18992,0.74489,0.00764,0.000855005,0.000855005,0.000855005
5,1101.78,1.20762,0.79862,0.00529,0.77201,0.85924,0.87195,0.60775,1.15084,0.71249,0.00718,0.000837007,0.000837007,0.000837007
6,2383.6,1.17421,0.74038,0.00531,0.80261,0.8608,0.87346,0.61012,1.14793,0.6844,0.00732,0.000819009,0.000819009,0.000819009
7,3613.07,1.15262,0.71061,0.00502,0.78981,0.88484,0.89096,0.62577,1.1177,0.65851,0.00673,0.000801011,0.000801011,0.000801011
8,4751.76,1.13544,0.70677,0.00501,0.82485,0.86685,0.89202,0.63057,1.11825,0.65641,0.00673,0.000783013,0.000783013,0.000783013
9,5874.35,1.15203,0.71666,0.005,0.81624,0.87261,0.88746,0.62174,1.13032,0.63416,0.0068,0.000765014,0.000765014,0.000765014
10,6971.83,1.13421,0.70017,0.00483,0.82945,0.88684,0.90026,0.63905,1.11158,0.60712,0.00656,0.000747016,0.000747016,0.000747016
11,8129.36,1.118,0.66052,0.00471,0.85203,0.88728,0.90504,0.64487,1.10001,0.59883,0.00656,0.000729018,0.000729018,0.000729018
12,9210.54,1.11853,0.67252,0.00476,0.85967,0.90213,0.90855,0.64005,1.11897,0.59545,0.00683,0.00071102,0.00071102,0.00071102
13,10262.6,1.11112,0.66738,0.00472,0.86371,0.89983,0.91207,0.65088,1.09478,0.58996,0.0066,0.000693022,0.000693022,0.000693022
14,11341.3,1.09011,0.64011,0.00454,0.86168,0.90314,0.91258,0.65162,1.09352,0.58271,0.00628,0.000675023,0.000675023,0.000675023
